Hasil;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
Frame;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R
23;"283,3654884";"279,4011453";"262,1850492";"245,2468145";"226,5303512";"229,2116925";"199,4617758";"187,1069213";"183,0027322";"222,6477038";"192,7822606";"182,3211452";"179,2010045";"218,6801317";"189,4228075";"175,3282636";"169,6732153";"221,0452442";"189,1137224";"172,4093965";"162,5207679"
23;"98,27003612";"151,1191583";"200,0099998";"237,0189866";"259,3260496";201;"228,7094226";"251,5094432";"263,1539473";"171,2921481";"197,1243263";"219,0091322";"227,2663635";"141,876707";"162,3730273";"184,0896521";"194,8794499";"113,8419958";"122,8006515";"141,0602708";"157,4706322"
24;"340,1543767";"362,2181663";"371,9408555";"386,9185961";"398,3992972";"327,946642";"312,8514024";"322,7785619";"334,7715639";"306,1845849";"285,22272";"298,0016778";"309,6126612";"293,9727879";"270,8449741";"279,5084972";"288,7213189";"289,2922398";"267,6060537";"273,642102";"281,625638"
24;"278,298401";"282,846248";"271,1549373";"258,5884762";"242,2932108";"220,8438362";"192,6758937";"184,567061";"185,4319282";"210,857772";"180,5103875";"174,1522323";"177,0225974";"207,6246613";"177,9016582";"169,3074127";"170,7512811";"209,3537676";"184,3908891";"176,5672676";"175,1456537"
24;"106,606754";"154,4668249";"199,01005";"232,0344802";"254,2833066";"199,0226118";"225,0799858";"247,0991704";"260,1230478";"171,1870322";"191,0104709";"213,2346126";"223,503915";"144,0138882";"158,9779859";"181,664526";"193,8298223";"118,6802427";"130,9236419";"149,1643389";"164,924225"
25;"107,2800075";"157,318149";"199,0025125";231;256;"199,0904317";"224,1428116";"246,1300469";"260,0692216";"169,1449083";190;"208,2402459";"217,66488";"139,9035382";"154,5736071";"174,4276354";"185,148589";"114,5862121";"125,0039999";"141,9471733";"154,9451516"
25;"112,9468902";"160,1311962";"202,1212507";"232,0086205";"258,001938";"195,0230756";"211,0592334";"227,2201576";"239,2530042";"166,9730517";"184,1738309";"201,8960128";"211,8584433";"139,21566";"152,5909565";"172,4673882";"185,0675552";"116,2970335";"125,23977";"143,1083506";"157,8892017"
26;"115,1347037";"158,9119253";"197,1243263";"225,0022222";"251,0179276";"195,064092";"211,0592334";"226,1791325";"239,0753019";"169,7557068";"187,0240626";"205,6234422";"216,8155898";"144,9310181";"157,6863976";"177,4852107";"191,3661412";"122,7762192";"129,4488316";"146,5400969";"162,3884232"
26;"119,6160524";"160,2529251";"197,0913494";"224,0022321";"250,0719896";"192,0937271";206;"217,2302925";"225,7188517";"167,9672587";"184,3908891";"202,5487596";"213,8831457";"144,1561653";"159,2482339";"178,7568181";"193,2899377";"123,1300126";"132,9661611";"151,0033112";"166,436174"
27;"121,148669";"166,7213244";"207,0676218";"236,5417511";"264,425793";"192,1665944";"206,0097085";"218,1467396";"225,7188517";"165,6804153";"183,330303";"199,4492417";"210,7605276";"139,0863041";"154,2076522";"172,6962652";"184,2009772";"114,179683";"124,6194206";"142,0880009";"154,1557654"
