Hasil;0;;1;;2;;3;;4;;5;;6;;7;;8;;9;;10;;11;;12;;13;;14;;15;;16;;17;;18;;19;;20
Frame;R;;R;;R;;R;;R;;R;;R;;R;;R;;R;;R;;R;;R;;R;;R;;R;;R;;R;;R;;R;;R
18;2,236067977;;1;;1;;0;;2,236067977;;1,414213562;;4,123105626;;5;;5;;3,605551275;;5,656854249;;6,403124237;;7,071067812;;2,236067977;;6,403124237;;7,071067812;;7,071067812;;4,242640687;;5,656854249;;5,830951895;;5,830951895
19;2,236067977;;3,16227766;;2,828427125;;1,414213562;;2,236067977;;4,242640687;;3,16227766;;3;;2,828427125;;2,236067977;;7,810249676;;7,810249676;;6,32455532;;3;;7,810249676;;6,403124237;;5,385164807;;3,16227766;;6,32455532;;5,099019514;;5
20;1;;1,414213562;;2,236067977;;6,08276253;;9,055385138;;2;;3,605551275;;6,32455532;;7,280109889;;1;;4,242640687;;4,242640687;;2,236067977;;2;;1;;1,414213562;;2;;2,236067977;;1,414213562;;2,236067977;;2,236067977
21;4,123105626;;1;;4,242640687;;9,219544457;;15,65247584;;2,236067977;;3,605551275;;6,708203932;;8,062257748;;1;;0;;1,414213562;;3,605551275;;1;;3,605551275;;2,828427125;;3;;1,414213562;;2,828427125;;2,236067977;;3
22;437,7145188;;405,6106507;;401,6179777;;404,6232816;;413,0375286;;487,2011905;;532,1663274;;556,493486;;576,9514711;;518,2759883;;515,2125775;;497,9658623;;486,4863821;;525,178065;;501,7668781;;483,9390457;;471,8061042;;516,2828682;;501,5994418;;493,5848458;;489,7193074
23;438,9897493;;407,4616546;;404,8505897;;405,2764489;;410,182886;;488,3574511;;532,0761224;;555,0828767;;573,5259366;;518,7957209;;512,2206556;;494,2762386;;481,4332768;;523,8263071;;498,4586242;;480,3352996;;469,802086;;515,4415583;;502,003984;;493,4338861;;489,509959
23;450,0244438;;418,2487298;;404,6059812;;397,0805964;;396,7026594;;469,2771036;;490,9022306;;513,4549639;;539,2327883;;500,3568726;;476,8752457;;462,7504727;;458,2684803;;511,6131351;;475,0789408;;461,5246472;;458,0327499;;511,4459893;;492,382981;;486,4339626;;485,2308729
24;450,0244438;;415,5237659;;400,6220164;;392,2371731;;392,4754769;;467,0588828;;487,9518419;;511,3208386;;538,6139619;;497,7569688;;477,4484265;;463,9935344;;459,4605533;;510,7210589;;476,092428;;462,0735872;;456,973741;;510,820908;;491,500763;;484,7690172;;483,6465652
24;431,3420916;;445,0269655;;459,3223269;;464,0366365;;476,3034747;;505,0564325;;537,9005484;;554,3509719;;564,3580424;;500,320897;;485,27621;;460,7211738;;440,4100362;;478,7744772;;441,6480499;;418,8520025;;402,6834985;;449,0167035;;419,5473752;;404,9357974;;392,4512709
25;430,7040747;;446,6598258;;463,0259172;;469,2845619;;480,6880485;;507,0069033;;536,4932432;;552,9385138;;562,2250439;;501,2883402;;478,204977;;452,8686344;;428,0292046;;478,5352652;;436,1651064;;412,825629;;395,0316443;;449,4997219;;415,3131349;;401,0486255;;387,1808363
25;470,9925689;;429,9593004;;405,7905864;;385,1298482;;369,4807167;;459,3528056;;455,1098768;;454,6570136;;453,8028206;;486,3846215;;431,6676963;;391,8290444;;360,4677517;;498,1967483;;435,6523844;;394,848072;;368,4562389;;504,0882859;;456,6322371;;425,3281086;;403,5467755
26;469,6594511;;426,6919263;;404,6652938;;386,1864835;;372,5184559;;457,9617888;;454,2972595;;453,0397334;;452,0011062;;484,6627694;;432,7089091;;391,0831114;;359,6067296;;495,0686821;;436,056189;;394,7074866;;367,5227884;;501,7220346;;455,1593128;;423,4571997;;401,6590594
26;2;;2;;2,236067977;;1;;3;;3;;2;;2,236067977;;2;;4,123105626;;3,16227766;;2;;1;;5;;5,099019514;;3,605551275;;2,236067977;;6,403124237;;5,385164807;;3,605551275;;1,414213562
27;414,5322665;;351,232117;;308,1119926;;276,9205662;;253,9547204;;351,4541222;;349,5153788;;354,052256;;361,353013;;389,0514105;;346,3423162;;312,2178726;;288,1961138;;413,8417572;;362,4155074;;329,317476;;309,4672842;;433,7211085;;388,0115978;;360,0111109;;343,2229596
28;411,5580154;;347,8577295;;304,2581141;;272,6939677;;246,9757073;;350,4753914;;345,8612439;;351,0113958;;359,5775299;;386,928934;;344,6461954;;311,8493226;;289,3475419;;411,6661269;;359,6109008;;323,8672568;;303,0659994;;429,5637322;;385,0934951;;357,2464136;;341,5918617
28;4,123105626;;5,385164807;;5,385164807;;5;;3,16227766;;7,071067812;;5,385164807;;4,472135955;;4,123105626;;5,830951895;;3,16227766;;2,828427125;;2,828427125;;4,242640687;;4;;2;;3;;3,605551275;;2,828427125;;5;;7,615773106
29;380,422134;;309,4672842;;262,8345487;;227,5543891;;195,8009193;;312,1169653;;306,1976486;;306,1241578;;309,4769781;;358,0628436;;316,6591227;;284,5856637;;260,8466983;;390,8618682;;339,0943821;;306,1649882;;283,6229892;;415,7655589;;369,758029;;339,0943821;;318,5121662
30;379,2690338;;307,2360656;;260,7316628;;224,1539649;;190,2235527;;309,9967742;;303,1055922;;302,654919;;305,6550343;;354,9380228;;311,4161203;;279,5084972;;255,8632447;;386,5449521;;335,5547645;;302,8530997;;280,3158932;;411,4182786;;366,39869;;335,959819;;315,3791369
30;379,778883;;314,784053;;270,675082;;231,4584196;;194,2009269;;315,4298654;;299,4277876;;285,0438563;;272,0661684;;351,0626725;;301,3469761;;270,2036269;;253,0316186;;374,9093224;;326,7185333;;304,9213013;;292,0428051;;393,4590195;;363,1115531;;342,1607809;;326,0981447
31;377,6360682;;312,0592892;;266,7901797;;226,920691;;189,8420396;;310,357858;;295,3320166;;281,0160138;;270,1499584;;345,8785914;;294,1105234;;263,7953752;;249,2749486;;369,6755334;;320,1562119;;300,4679683;;290,6974372;;388,1816585;;357,7666837;;335,8362696;;322,5786726
31;5,099019514;;7;;6;;3,605551275;;3,605551275;;8,544003745;;7,615773106;;6,708203932;;6,708203932;;8,544003745;;6,403124237;;8,062257748;;8,062257748;;7,615773106;;5,830951895;;5,656854249;;5;;5,830951895;;4,472135955;;5,385164807;;6,708203932
